system_id,curve,x,y
b2_seed_ensemble,ROC,0.0,0.0
b2_seed_ensemble,ROC,0.0,0.0017123287671232
b2_seed_ensemble,ROC,0.0,0.0085616438356164
b2_seed_ensemble,ROC,3.072951877573597e-05,0.0085616438356164
b2_seed_ensemble,ROC,3.072951877573597e-05,0.011986301369863
b2_seed_ensemble,ROC,6.145903755147194e-05,0.011986301369863
b2_seed_ensemble,ROC,6.145903755147194e-05,0.0136986301369863
b2_seed_ensemble,ROC,9.218855632720793e-05,0.0136986301369863
b2_seed_ensemble,ROC,9.218855632720793e-05,0.0154109589041095
b2_seed_ensemble,ROC,0.0001229180751029,0.0154109589041095
b2_seed_ensemble,ROC,0.0001229180751029,0.0171232876712328
b2_seed_ensemble,ROC,0.0002151066314301,0.0171232876712328
b2_seed_ensemble,ROC,0.0002151066314301,0.0188356164383561
b2_seed_ensemble,ROC,0.0002458361502058,0.0188356164383561
b2_seed_ensemble,ROC,0.0002458361502058,0.0205479452054794
b2_seed_ensemble,ROC,0.0002765656689816,0.0205479452054794
b2_seed_ensemble,ROC,0.0002765656689816,0.0256849315068493
b2_seed_ensemble,ROC,0.000338024706533,0.0256849315068493
b2_seed_ensemble,ROC,0.000338024706533,0.0308219178082191
b2_seed_ensemble,ROC,0.0003994837440845,0.0308219178082191
b2_seed_ensemble,ROC,0.0003994837440845,0.0325342465753424
b2_seed_ensemble,ROC,0.000460942781636,0.0325342465753424
b2_seed_ensemble,ROC,0.000460942781636,0.0342465753424657
b2_seed_ensemble,ROC,0.0005224018191875,0.0342465753424657
b2_seed_ensemble,ROC,0.0005224018191875,0.035958904109589
b2_seed_ensemble,ROC,0.0005531313379632,0.035958904109589
b2_seed_ensemble,ROC,0.0005531313379632,0.0410958904109589
b2_seed_ensemble,ROC,0.0006453198942904,0.0410958904109589
b2_seed_ensemble,ROC,0.0006453198942904,0.0445205479452054
b2_seed_ensemble,ROC,0.0007989674881691,0.0445205479452054
b2_seed_ensemble,ROC,0.0007989674881691,0.0462328767123287
b2_seed_ensemble,ROC,0.0010755331571507,0.0462328767123287
b2_seed_ensemble,ROC,0.0010755331571507,0.047945205479452
b2_seed_ensemble,ROC,0.0011062626759264,0.047945205479452
b2_seed_ensemble,ROC,0.0011062626759264,0.0513698630136986
b2_seed_ensemble,ROC,0.0011984512322537,0.0513698630136986
b2_seed_ensemble,ROC,0.0011984512322537,0.0565068493150684
b2_seed_ensemble,ROC,0.0012291807510294,0.0565068493150684
b2_seed_ensemble,ROC,0.0012291807510294,0.059931506849315
b2_seed_ensemble,ROC,0.0012599102698051,0.059931506849315
b2_seed_ensemble,ROC,0.0012599102698051,0.0616438356164383
