System,n_members,n_samples,n_positive,roc_auc,pr_auc,brier,ece,adaptive_ece,nll,auc_drop
"B2, 3-seed ensemble",3,33126,584,0.7821599673509387,0.1467684836955131,0.017365799924369,0.0169755734462788,0.012417603503509,0.2173670106451089,0.1509538991927583
"B6, 3-seed ensemble",3,33126,584,0.7987304920174814,0.1423339329146928,0.0172191520992349,0.016481446361119,0.0127765415464447,0.1982265930484257,0.1423764062421554
"B2+B6, 6-model ensemble",6,33126,584,0.802388251894496,0.1512709433642163,0.0169653785364021,0.0158031667174543,0.0125970725249769,0.193786076589799,0.1418142382423077
"B2+B4+B6, 9-model ensemble",9,33126,584,0.7540566121926312,0.1382796257703546,0.0170550205553221,0.0144518415909,0.0122539140023806,0.1537452079408123,0.1929810131254675
