,Youden,Spec 90%,Spec 95%,Sens 80%
Validation sensitivity,0.8841463414634146,0.8536585365853658,0.7378048780487805,0.8048780487804879
Internal-test sensitivity,0.8735632183908046,0.8505747126436781,0.7816091954022989,0.8103448275862069
External sensitivity,0.1780821917808219,0.1695205479452055,0.1130136986301369,0.1318493150684931
External specificity,0.9885686190154264,0.9913035461864668,0.996742671009772,0.995114006514658
