model_id,Setting,Latency B=1,External Mel-AUC,pr_auc,Params,FLOPs,peak_mem_mb
B0,A0/B0 backbone-only,3.9384770393371578,0.7486478748643481,0.1163654731412936,31367145,4483858176.0,1025.32666015625
B1,A1/B1 + melanoma head,4.032895565032959,0.7139649298314592,0.0857056237782628,31367914,4483858944.0,1024.1650390625
B2,A4/B2 + CMGF metadata,4.19419527053833,0.8012813577901013,0.1539879332902385,32010026,4484499584.0,1154.3818359375
B3,A2/B3 + CSSA,5.202221870422363,0.6849134058998994,0.0842847399421042,32789614,4809852416.0,1170.57421875
B4,A3/B4 + LPAH mask aux,4.091594219207764,0.7593925773899778,0.1146373352816097,31367914,4614009216.0,1165.22998046875
B5,A5/B5 + CSSA + LPAH,5.25820255279541,0.698734033278806,0.0927740968334892,32789614,5330453504.0,1312.37353515625
B6,A6/B6 full OncoDerm-MambaX,5.493628978729248,0.7863278161920149,0.131588448318782,33431726,5331094144.0,1323.19384765625
