Model,Setting,CSSA,LPAH,CMGF,Macro-F1,Internal Mel-AUC,Internal Mel-Sens,External Mel-AUC,External PR-AUC,External sensitivity,External specificity,External Brier,External ECE,Pointing-game,Parameters,FLOPs,Latency_ms
B0,A0/B0 backbone-only,False,False,False,0.7505286172458333,0.9361817048385168,0.7701149425287356,0.7486478748643481,0.1163654731412936,0.3304794520547945,0.959252658103374,0.0217368472367525,0.0215281037005958,0.58,31367145,4483858176.0,3.9384770393371578
B1,A1/B1 + melanoma head,False,False,False,0.7598432812668967,0.9004607094669603,0.6551724137931034,0.7139649298314592,0.0857056237782628,0.3184931506849315,0.9430274721897856,0.0260999668389558,0.0264207079326232,0.92,31367914,4483858944.0,4.032895565032959
B2,A4/B2 + CMGF metadata,False,False,True,0.7681201758144836,0.9300076002117812,0.6666666666666666,0.8012813577901013,0.1539879332902385,0.2311643835616438,0.9861717165509188,0.0183978863060474,0.0182350039558809,0.83,32010026,4484499584.0,4.19419527053833
B3,A2/B3 + CSSA,True,False,False,0.7563580049299528,0.9271660603576368,0.6896551724137931,0.6849134058998994,0.0842847399421042,0.2414383561643835,0.973449695777764,0.0232871863991022,0.0232510294103895,0.19,32789614,4809852416.0,5.202221870422363
B4,A3/B4 + LPAH mask aux,False,True,False,0.7787540142920333,0.901831309456713,0.6494252873563219,0.7593925773899778,0.1146373352816097,0.3424657534246575,0.9603281912605248,0.0210247263312339,0.0211558605632231,0.92,31367914,4614009216.0,4.091594219207764
B5,A5/B5 + CSSA + LPAH,True,True,False,0.7129633398030369,0.90799260473775,0.6379310344827587,0.698734033278806,0.0927740968334892,0.4229452054794521,0.8706287259541515,0.0409845113754272,0.0467259893319231,0.12,32789614,5330453504.0,5.25820255279541
B6,A6/B6 full OncoDerm-MambaX,True,True,True,0.7625919455011364,0.9301335587778176,0.6839080459770115,0.7863278161920149,0.131588448318782,0.1335616438356164,0.9941306619138344,0.0179754942655563,0.0177626343357244,0.98,33431726,5331094144.0,5.493628978729248
