run_id,condition,level,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_auc,mel_auc,mel_sensitivity,macro_f1_drop,mel_auc_drop,worst_case_drop,model_id,condition_label
oncoderm_mambax_b0_backbone_only_seed42_20260706_232558,clean,none,0.8546052631578948,0.7469193950927434,0.7505286172458333,0.8554625120311937,0.9624203278231558,0.9361817048385168,0.7701149425287356,0.0,0.0,0.0,B0,Clean
oncoderm_mambax_b0_backbone_only_seed42_20260706_232558,gaussian_blur,3,0.8598684210526316,0.7553072153380451,0.7624196124990262,0.8597680305079012,0.9574683574894736,0.931495619203771,0.7528735632183908,-0.0118909952531929,0.0046860856347459,0.0046860856347459,B0,Gaussian Blur 3
oncoderm_mambax_b0_backbone_only_seed42_20260706_232558,gaussian_blur,5,0.8407894736842105,0.7047982996064659,0.7115512906764171,0.8400555626478721,0.947125062229732,0.918477054192072,0.6954022988505747,0.0389773265694162,0.0177046506464449,0.0389773265694162,B0,Gaussian Blur 5
oncoderm_mambax_b0_backbone_only_seed42_20260706_232558,brightness_shift,-0.2,0.8532894736842105,0.7429773123274959,0.7622346471646348,0.8533356725051097,0.9611940999254084,0.929108811121928,0.7413793103448276,-0.0117060299188015,0.0070728937165889,0.0070728937165889,B0,Brightness Shift -0.2
oncoderm_mambax_b0_backbone_only_seed42_20260706_232558,brightness_shift,0.2,0.8467105263157895,0.7544139254681207,0.7305294983971379,0.848383236129113,0.9556027635047132,0.9299947908660826,0.7298850574712644,0.0199991188486954,0.0061869139724343,0.0199991188486954,B0,Brightness Shift 0.2
oncoderm_mambax_b0_backbone_only_seed42_20260706_232558,hair_occlusion,5,0.8401315789473685,0.7551546274365163,0.7372240776994169,0.8432580473427407,0.9548289634844536,0.9235068572697306,0.6494252873563219,0.0133045395464164,0.0126748475687863,0.0133045395464164,B0,Hair Occlusion 5
oncoderm_mambax_b0_backbone_only_seed42_20260706_232558,hair_occlusion,10,0.7638157894736842,0.6157240420155691,0.6053938980378211,0.7606187153455903,0.9283634657726936,0.8994039384468241,0.2126436781609195,0.1451347192080122,0.0367777663916928,0.1451347192080122,B0,Hair Occlusion 10
oncoderm_mambax_b3_cssa_seed42_20260707_000406,clean,none,0.8546052631578948,0.7585579025782748,0.7563580049299528,0.8487282507721846,0.9528176544083412,0.9271660603576368,0.6896551724137931,0.0,0.0,0.0,B3,Clean
oncoderm_mambax_b3_cssa_seed42_20260707_000406,gaussian_blur,3,0.8407894736842105,0.7329927369419968,0.737426997736827,0.8321568178916449,0.945983857640045,0.9249094806237298,0.6436781609195402,0.0189310071931257,0.002256579733907,0.0189310071931257,B3,Gaussian Blur 3
oncoderm_mambax_b3_cssa_seed42_20260707_000406,gaussian_blur,5,0.8322368421052632,0.7109002650338547,0.7227892901498263,0.8208741400647327,0.940476512402642,0.9156013560827312,0.6264367816091954,0.0335687147801264,0.0115647042749056,0.0335687147801264,B3,Gaussian Blur 5
oncoderm_mambax_b3_cssa_seed42_20260707_000406,brightness_shift,-0.2,0.8486842105263158,0.7366241089941694,0.7514893964267549,0.8441217232409938,0.9451353419078126,0.9283124967976636,0.735632183908046,0.0048686085031978,-0.0011464364400267,0.0048686085031978,B3,Brightness Shift -0.2
oncoderm_mambax_b3_cssa_seed42_20260707_000406,brightness_shift,0.2,0.8513157894736842,0.7740698800461282,0.7440151632080051,0.8440604460591242,0.9441636693835768,0.9121065395979576,0.6091954022988506,0.0123428417219476,0.0150595207596793,0.0150595207596793,B3,Brightness Shift 0.2
oncoderm_mambax_b3_cssa_seed42_20260707_000406,hair_occlusion,5,0.8513157894736842,0.7574973280774414,0.7439790768298303,0.8487470289833879,0.9443260388404217,0.9225013236323888,0.7011494252873564,0.0123789281001224,0.0046647367252479,0.0123789281001224,B3,Hair Occlusion 5
oncoderm_mambax_b3_cssa_seed42_20260707_000406,hair_occlusion,10,0.8309210526315789,0.715139886932393,0.7028305005164986,0.8253251566249512,0.9327559792846076,0.906831224061075,0.4770114942528735,0.0535275044134541,0.0203348362965618,0.0535275044134541,B3,Hair Occlusion 10
oncoderm_mambax_b6_full_seed42_20260707_004712,clean,none,0.8572368421052632,0.7751444133371547,0.7625919455011364,0.8556587390468764,0.9647694598694702,0.9301335587778176,0.6839080459770115,0.0,0.0,0.0,B6,Clean
oncoderm_mambax_b6_full_seed42_20260707_004712,gaussian_blur,3,0.8526315789473684,0.7411480424754755,0.7521043781760558,0.8472207354476577,0.9629532029702232,0.9229026831309458,0.6436781609195402,0.0104875673250806,0.0072308756468717,0.0104875673250806,B6,Gaussian Blur 3
oncoderm_mambax_b6_full_seed42_20260707_004712,gaussian_blur,5,0.8322368421052632,0.6849417678675346,0.6976373585253208,0.8222317514226473,0.9569227182271464,0.912806783829482,0.5977011494252874,0.0649545869758155,0.0173267749483355,0.0649545869758155,B6,Gaussian Blur 5
oncoderm_mambax_b6_full_seed42_20260707_004712,brightness_shift,-0.2,0.8638157894736842,0.748502505902631,0.7733094056662269,0.8606079548823096,0.9646115355432044,0.9265277279636556,0.6896551724137931,-0.0107174601650904,0.0036058308141618,0.0036058308141618,B6,Brightness Shift -0.2
oncoderm_mambax_b6_full_seed42_20260707_004712,brightness_shift,0.2,0.8519736842105263,0.780685461734354,0.7489976666137558,0.8509398186365885,0.9617093064605682,0.9275524756195452,0.7011494252873564,0.0135942788873806,0.0025810831582723,0.0135942788873806,B6,Brightness Shift 0.2
oncoderm_mambax_b6_full_seed42_20260707_004712,hair_occlusion,5,0.8513157894736842,0.7495145661455203,0.7547803228313825,0.8504892706183984,0.9628869598652404,0.9333956721490668,0.6206896551724138,0.0078116226697538,-0.0032621133712491,0.0078116226697538,B6,Hair Occlusion 5
oncoderm_mambax_b6_full_seed42_20260707_004712,hair_occlusion,10,0.7763157894736842,0.6235879737305211,0.6130713634799114,0.7668574487863741,0.9436061536601514,0.9067863913511298,0.160919540229885,0.1495205820212249,0.0233471674266877,0.1495205820212249,B6,Hair Occlusion 10
