system_id,system_type,threshold_policy,threshold_source,threshold,feasible,selection_score_on_val,dataset,n_samples,n_positive,tp,fp,tn,fn,sensitivity,specificity,ppv,npv,f1,accuracy,balanced_accuracy,prevalence
b2_b6_all6,model_ensemble,youden,val,0.0704225301742553,True,0.7647986765264243,val,1513,164,145,161,1188,19,0.8841463414634146,0.8806523350630097,0.4738562091503268,0.984258492129246,0.6170212765957447,0.8810310641110377,0.8823993382632122,0.108393919365499
b2_b6_all6,model_ensemble,youden,val,0.0704225301742553,True,0.7647986765264243,test,1520,174,152,154,1192,22,0.8735632183908046,0.8855869242199108,0.4967320261437908,0.9818780889621088,0.6333333333333333,0.8842105263157894,0.8795750713053577,0.1144736842105263
b2_b6_all6,model_ensemble,youden,val,0.0704225301742553,True,0.7647986765264243,external,33126,584,104,372,32170,480,0.1780821917808219,0.9885686190154264,0.2184873949579832,0.9852986217457886,0.1962264150943396,0.9742800217351928,0.583325405398124,0.0176296564632011
b2_b6_all6,model_ensemble,specificity_90,val,0.1340411702791849,True,0.8536585365853658,val,1513,164,140,134,1215,24,0.8536585365853658,0.9006671608598962,0.5109489051094891,0.980629539951574,0.639269406392694,0.8955717118307998,0.8771628487226311,0.108393919365499
b2_b6_all6,model_ensemble,specificity_90,val,0.1340411702791849,True,0.8536585365853658,test,1520,174,148,130,1216,26,0.8505747126436781,0.9034175334323924,0.5323741007194245,0.9790660225442834,0.6548672566371682,0.8973684210526316,0.8769961230380352,0.1144736842105263
b2_b6_all6,model_ensemble,specificity_90,val,0.1340411702791849,True,0.8536585365853658,external,33126,584,99,283,32259,485,0.1695205479452055,0.9913035461864668,0.2591623036649215,0.9851881260688982,0.2049689440993788,0.9768157942401738,0.5804120470658362,0.0176296564632011
b2_b6_all6,model_ensemble,specificity_95,val,0.3240972956021626,True,0.7378048780487805,val,1513,164,121,67,1282,43,0.7378048780487805,0.950333580429948,0.6436170212765957,0.9675471698113208,0.6875,0.9272967614011896,0.8440692292393643,0.108393919365499
b2_b6_all6,model_ensemble,specificity_95,val,0.3240972956021626,True,0.7378048780487805,test,1520,174,136,83,1263,38,0.7816091954022989,0.9383358098068352,0.6210045662100456,0.9707916986933128,0.6921119592875318,0.9203947368421052,0.859972502604567,0.1144736842105263
b2_b6_all6,model_ensemble,specificity_95,val,0.3240972956021626,True,0.7378048780487805,external,33126,584,66,106,32436,518,0.1130136986301369,0.996742671009772,0.3837209302325581,0.984281119135765,0.1746031746031746,0.9811628328201412,0.5548781848199544,0.0176296564632011
b2_b6_all6,model_ensemble,sensitivity_80,val,0.2243193884690602,True,0.9369903632320236,val,1513,164,132,85,1264,32,0.8048780487804879,0.9369903632320236,0.6082949308755761,0.9753086419753086,0.6929133858267716,0.9226701916721743,0.8709342060062557,0.108393919365499
b2_b6_all6,model_ensemble,sensitivity_80,val,0.2243193884690602,True,0.9369903632320236,test,1520,174,141,103,1243,33,0.8103448275862069,0.923476968796434,0.5778688524590164,0.9741379310344828,0.6746411483253588,0.9105263157894736,0.8669108981913204,0.1144736842105263
b2_b6_all6,model_ensemble,sensitivity_80,val,0.2243193884690602,True,0.9369903632320236,external,33126,584,77,159,32383,507,0.1318493150684931,0.995114006514658,0.326271186440678,0.984584980237154,0.1878048780487805,0.9798949465676507,0.5634816607915756,0.0176296564632011
